STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TEMP
94874099999,"MANGALORE AIRPORT, AS",-36.8833333,145.1833333,141.0,68.9
95717099999,"PARKES AIRPORT, AS",-33.1333333,148.2333333,324.0,65.9
95835099999,"LONGERENONG, AS",-36.6666666,142.3,133.0,74.2
95570099999,"GRAFTON AIRPORT, AS",-29.75,153.0333333,26.0,72.4
94188099999,"CAPE FLATTERY, AS",-14.9666666,145.3166666,19.0,81.7
94598099999,"EVANS HEAD RAAF BOMBING RANGE, AS",-29.1833333,153.4,63.0,71.2
94610099999,"PERTH INTERNATIONAL, AS",-31.940278,115.966944,20.42,80.0
94276099999,"PALMERVILLE, AS",-16.0,144.0666666,205.0,79.2
94341099999,"RICHMOND, AS",-20.701944,143.114722,206.04,81.5
94555099999,"WARWICK, AS",-28.2,152.1,476.0,72.4
95671099999,"ROSEWORTHY AG COLLEGE, AS",-34.5166666,138.6833333,65.0,75.2
95832099999,"EDENHOPE AIRPORT, AS",-37.0166666,141.2666666,155.0,74.9
94915099999,"PERISHER VALLEY AWS, AS",-36.4,148.4,1735.0,48.2
95639099999,"SALMON GUMS RES. STATION, AS",-32.9833333,121.6166666,249.0,68.1
95754099999,"MERRIWA ROSCOMMON, AS",-32.1833333,150.1666666,376.0,61.5
95704099999,"GRIFFITH AIRPORT AWS, AS",-34.25,146.0666666,135.0,71.4
94938099999,"ULLADULLA AWS, AS",-35.35,150.4833333,37.0,65.6
95621099999,"COLLIE EAST, AS",-33.3666666,116.1666666,200.0,71.0
94690099999,"AUSTIN PLAINS, AS",-35.3777778,140.5377778,110.8,78.9
95448099999,"LEINSTER AERO, AS",-27.85,120.7,498.0,93.9
95636099999,"JACUP, AS",-33.8833333,119.1,306.0,62.6
94659099999,"WOOMERA, AS",-31.144167,136.816944,167.03,84.5
94306099999,"MARDIE, AS",-21.1833333,115.9666666,12.0,89.4
94268099999,"KOWANYAMA AIRPORT, AS",-15.4833333,141.75,11.0,79.0
95966099999,"LAUNCESTON AIRPORT, AS",-41.55,147.2166666,168.0,60.6
95918099999,"ORBOST, AS",-37.6833333,148.4666666,63.0,67.8
94746099999,"MOSS VALE AWS, AS",-34.5166666,150.4166666,679.0,56.3
95307099999,"KARRATHA AERO, AS",-20.7166666,116.7666666,6.0,89.5
94363099999,"EMERALD AIRPORT, AS",-23.5666666,148.1833333,190.0,80.4
94553099999,"APPLETHORPE, AS",-28.6166666,151.95,873.0,67.0
95529099999,"MILES CONSTANCE STREET, AS",-26.65,150.1833333,305.0,79.5
95840099999,"WESTMERE, AS",-37.7,142.9333333,227.0,70.4
94743099999,"MOUNT BOYCE, AS",-33.6166666,150.2666666,1080.0,51.0
94137099999,"JABIRU AIRPORT, AS",-12.6666666,132.9,28.0,81.0
94595899999,"TAREE, AS",-31.888611,152.513889,11.58,70.0
94906099999,"MOUNT HOTHAM, AS",-36.9666666,147.1333333,1849.0,49.4
94628099999,"NEWDEGATE RES. STATION, AS",-33.1166666,118.8333333,321.0,67.8
94143099999,"BULMAN AWS, AS",-13.6666666,134.3333333,105.0,76.9
94327099999,"JERVOIS, AS",-22.95,136.15,329.0,92.2
94855099999,"BENDIGO AIRPORT AWS, AS",-36.7333333,144.3166666,209.0,69.5
94612099999,"PEARCE, AS",-31.667778,116.015,45.41,81.0
95972099999,"CAMPANIA KINKORA, AS",-42.6833333,147.4166666,45.0,59.4
95719099999,"DUBBO AIRPORT AWS, AS",-32.2166666,148.5666666,285.0,66.4
95283099999,"COOKTOWN AIRPORT, AS",-15.45,145.1833333,6.0,80.6
94767099999,"SYDNEY INTERNATIONAL, AS",-33.946111,151.177222,6.4,66.8
94912099999,"BAIRNSDALE AIRPORT, AS",-37.8833333,147.5666666,50.0,64.3
95666099999,"PORT AUGUSTA ARID LANDS, AS",-32.5166666,137.7166666,14.0,81.0
94907099999,"EAST SALE, AS",-38.098889,147.149444,7.01,66.3
94802099999,"ALBANY AIRPORT, AS",-34.9414,117.8022,69.0,64.7
94959099999,"BUTLERS GORGE, AS",-42.2833333,146.2833333,667.0,55.7
94328099999,"TERRITORY GRAPE FARM, AS",-22.45,133.6333333,567.0,86.1
94987099999,"FRIENDLY BEACHES, AS",-42.0,148.2833333,56.0,60.1
94170099999,"WEIPA AERO, AS",-12.6833333,141.9166666,19.0,80.7
94576099999,"BRISBANE, AS",-27.4833333,153.0333333,8.0,76.1
95748099999,"WOLLONGONG AIRPORT, AS",-34.5666666,150.7833333,8.0,64.3
94686099999,"FOWLERS GAP AWS, AS",-31.0833333,141.7,182.0,81.8
94200099999,"MANDORA, AS",-19.7333333,120.85,8.0,89.3
95612099999,"GINGIN AERO, AS",-31.4666666,115.8666666,75.0,79.1
94335099999,"CLONCURRY AIRPORT, AS",-20.6666666,140.5,187.0,80.5
94896099999,"ALBURY, AS",-36.067778,146.958056,164.28,71.6
94836099999,"STAWELL AERODROME, AS",-37.0666666,142.7333333,235.0,72.4
94302099999,"LEARMONTH, AS",-22.235556,114.088611,5.79,89.3
94843099999,"SWAN HILL AERODROME, AS",-35.3833333,143.5333333,71.0,76.9
94682099999,"LOXTON RESEARCH CENTRE, AS",-34.4333333,140.6,30.0,81.1
94141099999,"CENTRAL ARNHEM PLATEAU, AS",-13.3333333,133.0833333,416.0,77.8
95977099999,"GROVE RESEARCH STATION, AS",-42.9833333,147.0666666,65.0,56.5
95937099999,"MORUYA AIRPORT, AS",-35.9,150.15,4.0,65.0
94850099999,"KING ISLAND AIRPORT, AS",-39.8833333,143.8833333,38.0,63.1
94785099999,"KEMPSEY AIRPORT AWS, AS",-31.0666666,152.7666666,14.0,71.1
94549099999,"KINGAROY AIRPORT, AS",-26.5666666,151.8333333,434.0,70.7
94873199999,"PUCKAPUNYAL LYON HILL DEFENCE, AS",-36.94,145.05,193.0,69.7
94569099999,"SUNSHINE COAST AIRPORT, AS",-26.6,153.1,4.0,78.1
94395099999,"CLERMONT AIRPORT, AS",-22.7833333,147.6166666,272.0,79.0
95931099999,"BEGA AWS, AS",-36.6666666,149.8166666,42.0,63.3
94895599999,"AVALON, AS",-38.039444,144.469444,10.66,70.4
95715099999,"WALGETT AIRPORT, AS",-30.0333333,148.1166666,134.0,77.0
95833099999,"KYABRAM INST SUSTAINABLE AG, AS",-36.3333333,145.0666666,104.0,69.1
94786099999,"PORT MACQUARIE AIRPORT AWS, AS",-31.4333333,152.85,5.0,72.1
95925099999,"MOUNT GININI, AS",-35.5333333,148.7666666,1760.0,46.1
94828099999,"PORTLAND CASHMORE AIRPORT, AS",-38.3166666,141.4666666,82.0,67.5
94225099999,"DELAMERE WEAPONS RANGE, AS",-15.75,131.9166666,222.0,86.6
94140099999,"MILINGIMBI AWS, AS",-12.1166666,134.9,16.0,79.5
95722099999,"TEMORA AIRPORT, AS",-34.4333333,147.5166666,281.0,69.1
95697099999,"IVANHOE AERODROME AWS, AS",-32.8833333,144.3166666,100.0,76.9
94608099999,"PERTH METRO, AS",-31.9166666,115.8666666,25.0,79.8
94510099999,"CHARLEVILLE, AS",-26.413334,146.2625,305.71,86.1
94517099999,"ST GEORGE AIRPORT, AS",-28.05,148.6,199.0,85.2
94835099999,"BEN NEVIS, AS",-37.2333333,143.2,875.0,64.5
95867099999,"SCORESBY RESEARCH INSTITUTE, AS",-37.8666666,145.25,80.0,72.5
94595199999,"AMBERLEY, AS",-27.640556,152.711944,27.73,76.3
94186099999,"LOCKHART RIVER AIRPORT, AS",-12.7833333,143.3,20.0,80.0
94231099999,"LAJAMANU, AS",-18.3333333,130.6333333,317.0,88.1
94387099999,"BUNDABERG AERO, AS",-24.9,152.3166666,28.0,75.8
94615099999,"GOOSEBERY HILL, AS",-31.95,116.05,220.0,77.7
95664099999,"WHYALLA, AS",-33.058889,137.514444,12.49,73.1
95827099999,"KANAGULK, AS",-37.1166666,141.8,189.0,74.6
